LR,SVM,KNN,RF,ET,GB
0.8029683953204121,0.8594594594594596,0.8379802727628815,0.8402808249232119,0.846074646074646,0.825018694583912
0.7785254115962777,0.9201404124616059,0.8576335748052919,0.9613095238095237,0.9287113200156678,0.9129781420765027
0.8150058351842788,0.8307480563925157,0.744561403508772,0.9119889893241082,0.8384615384615385,0.8861234705228032
0.9803561791689153,0.9609162491052254,0.9201404124616059,0.9736689814814814,0.9461538461538461,0.9672602986148588
0.9007236626786428,0.9536710425833667,0.8756830601092896,0.9609162491052254,0.9536710425833667,0.9233684210526316
0.8483513867396739,0.8545396419437341,0.8627941118120859,0.8402808249232119,0.8882921589688507,0.8232056125202375
0.9373019153920352,0.9307242465137202,0.8689075630252101,0.9739441660701503,0.9609162491052254,0.9489122807017544
0.709079283887468,0.775197628458498,0.7960911241130337,0.7848699763593381,0.8140960163432074,0.7737311686412169
0.9623811492352212,0.9809324253535883,0.9685110211426001,0.9872280701754386,0.9872280701754386,0.9609162491052254
0.5589934762348555,0.6129236617041496,0.6129236617041496,0.6008771929824561,0.588558246828143,0.637951911434008
0.7901844532279314,0.8140960163432074,0.7875457875457876,0.8664813313255338,0.7934650753277246,0.8882921589688507
0.8287091066521101,0.8561156495877724,0.7846153846153846,0.8603651987110634,0.838372137920383,0.7963554987212276
0.8820659424433009,0.8868159203980099,0.8621212121212121,0.8945905247306846,0.8868159203980099,0.8882921589688507
0.7762295081967212,0.7669815564552407,0.7595939933259177,0.825,0.8193050193050193,0.7931818181818182
0.8287091066521101,0.8021978021978022,0.7875457875457876,0.8307480563925157,0.8109015345268542,0.8193050193050193
0.8194659365948498,0.8201581027667983,0.798818372403278,0.877413560844185,0.838372137920383,0.8820659424433009
0.7931818181818182,0.748657357679914,0.738996138996139,0.728937728937729,0.7934650753277246,0.748657357679914
0.9307242465137202,0.9559154295996402,0.9208033472803347,0.9502732240437158,0.9623811492352212,0.932462976082043
0.9150326797385621,0.9809324253535883,0.9682207089226471,0.932462976082043,0.9623811492352212,0.9208033472803347
0.7818094629156009,0.8376317923763179,0.8585199004975124,0.808110300081103,0.8201581027667983,0.7963554987212276
